lang,8,9,10,11,12,13,14,15,16,17,18,19,20
Amoy,,,,,,,,,,,1,1,1
Ancient Greek,,,,,,,,1,4,5,14,17,18
Andalusian Arabic,,,1,1,2,5,5,8,8,11,11,11,11
Arabic,,,1,2,5,8,9,12,12,13,14,14,14
Basque,,,,,,1,1,1,1,1,1,1,1
Catalan,,,,,1,7,10,18,20,20,20,22,22
Celtic,,,,,,,,,2,2,2,2,2
English,,,,,,,,,,1,1,2,3
French,,,1,1,3,8,12,22,31,35,43,56,57
Galician,,,,1,10,20,23,30,31,37,38,40,40
German,,,,1,4,4,5,7,7,8,8,10,13
Gothic,,,2,2,3,3,5,6,6,6,6,6,6
Italian,,,,,,,,3,11,14,16,17,18
Japanese,,,,,,,,,,,,,
Latin,1,3,100,156,362,559,601,755,811,859,885,909,912
Mapuche,,,,,,,,,,,,,
Nahuatl,,,,,,,,,2,2,2,4,4
Occitan,,,,,,2,3,4,4,4,4,4,4
Old Spanish,1,1,46,64,123,163,177,193,204,208,209,211,212
Persian,,,,,,,,,,,,,
Portuguese,,,,,,,,,1,1,1,1,1
Quechua,,,,,,,,,3,3,3,4,4
Romany,,,,,,,,,,,,,
Spanish,,,,,,,,,,,,,
Taino,,,,,,,,1,3,3,3,3,3
Tanga,,,,,,,,,,,,,
Vulgar Latin,,,20,40,98,129,132,144,150,151,154,154,154
