lang,lat,long
Amoy,26.4837,117.9249
Ancient Greek,37.9838,23.7275
Andalusian,37.1855,-3.5901
Andalusian Arabic,37.1855,-3.5901
Arabic,21.3891,39.8579
Basque,42.8592,-2.6818
Catalan,41.3851,2.1734
Celtic,52.1307,-3.7837
English,41.8781,-87.6298
French,48.8566,2.3522
Galician,42.5751,-8.1339
German,52.52,13.405
Gothic,53.5511,9.9937
Italian,45.0703,7.6869
Japanese,35.6895,139.6917
Latin,41.9028,12.4964
Mapuche,-38.9489,-72.3311
Nahuatl,20.0911,-98.7624
Occitan,44.931,2.445
Old Spanish,39.8628,-4.0273
Persian,35.6892,51.389
Portuguese,39.3999,-8.2245
Quechua,-18.0066,-70.2463
Romany,45.9432,24.9668
Taino,19.0019,-71.5724
Tanga,2.9263,11.1561
Vulgar Latin,43.7696,11.2558
